title,city,sector,url,linkedBlueprint,,,,saksalaisten
Treffen des Grundsatzbeschlusses,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/organisatorisch/treffen-des-grundsatzbeschlusses,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ist ein ambitionierter Klimaschutzplan vorhanden? (Restbudget / Zieljahr / jährliche Kostenaufstellung / Verantwortlichkeiten benannt)
Treffen des Grundsatzbeschlusses,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/organisatorisch/einstellung-klimaschutzstabstelle,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ist ein ambitionierter Klimaschutzplan vorhanden? (Restbudget / Zieljahr / jährliche Kostenaufstellung / Verantwortlichkeiten benannt)
Windkraft: Ausweisung von Flächen,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/strom/windkraft-ausweisung-von-flachen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von Windenergieanlagen ermöglichen und Errichtung unterstützen
Windkraft: Umsetzung von Windrad in Schurwald,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/strom/windkraft-umsetzung-von-windrad-in-schurwald,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von Windenergieanlagen ermöglichen und Errichtung unterstützen
PV: Belegung aller kommunaler Dächer,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/strom/pv-belegung-aller-kommunaler-dacher,PV-Belegung aller kommuneneigenen Dachflächen,,,,PV-Belegung aller kommuneneigenen Dachflächen
PV: Förderprogramm für Balkon-PV Anlagen,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/strom/pv-forderprogramm-fur-balkon-pv-anlagen,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Förderprogramme für PV-Anlagen. Hier darf folgende Förderung nicht fehlen: *private Haushalte, Fokus: Förderung nicht-wirtschaftlicher Anlagen(-teile) *Mini-PV Anlagen * Mieter:innen-Strom Projekte *Förderprogramme für (kleine) Unternehmen"
Motivation der Bevölkerung zu PV,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/strom/motivation-der-bevolkerung-zu-pv,PV-Belegung aller kommuneneigenen Dachflächen,,,,Start wirksamer Kampagnen: *Fachkräftekampagne für Ausbau EE (PV und Sanierung) *Teilnahme Wattbewerb (Beschluss zur Verdoppelung der PV Flächen in der Kommune) *Unterstützung bei Solarparties und Solarselbstbauworkshops
Wärme: Wärmeplanung beauftragen,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/warme/warme-warmeplanung-beauftragen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Wärmeplanung beauftragen bzw. erstellen gemäß Wärmeplanungsgesetz bzw. Landesgesetz
Wärme: Wärmeplanung mit Anschlusszwang umsetzen,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/warme/warme-warmeplanung-mit-anschlusszwang-umsetzen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Wärmeplanung beauftragen bzw. erstellen gemäß Wärmeplanungsgesetz bzw. Landesgesetz
Fa. Schetter klimaneutral Scope 2,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/industrie-wirtschaft/fa-schetter-klimaneutral-scope-2,PV-Belegung aller kommuneneigenen Dachflächen,,,,Kommune bezieht für alle eigenen Liegenschaften nur noch qualifizierten Ökostrom
Gebäude: Sanierung kommunaler Liegenschaften,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/gebaude/gebaude-sanierung-kommunaler-liegenschaften,PV-Belegung aller kommuneneigenen Dachflächen,,,,Umfassende energetische Gebäudesanierung der kommunalen Liegenschaften und kommunalen Wohhnungsbaugesellschaften *Hüllfllächensanierung inkl. Heizungsaustausch. *Erstellung eines Sanierungsplans.
Gebäude: Beratung von Eigentümerinnen zu Sanierung,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/gebaude/gebaude-beratung-von-eigentumerinnen-zu-sanierung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Beratung zu Gebäudesanierung und Heizungstausch. Das kann z.B.: über Verbraucherzentrale (kostenneutral) oder über Mittel aus Städtebauförderung (z.B. über Ausweisung von Sanierungsgebieten) ablaufen *Klare an Zielgruppe angepasste Angebote:- Eigentümer:innen von Ein- und Zweifamilienhäusern - Wohungseigentümergemeinschaften- Genossenschaften- privaten Großeigentümern
Gebäude: Energetische Sanierung von Quartieren,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/gebaude/gebaude-energetische-sanierung-von-quartieren,PV-Belegung aller kommuneneigenen Dachflächen,,,,Energetische Quartierssanierung
Mobilitätskonzept erstellen,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/verkehr/mobilitatskonzept-erstellen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Mobilitätsplanung mit Fokus auf Ausbau Rad- und Fußinfrastruktur und ÖPNV-Entwicklung
Verkehr: Mobilitätsplanung mit Fokus Rad und Fuß,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/verkehr/verkehr-mobilitatsplanung-mit-fokus-rad-und-fu,PV-Belegung aller kommuneneigenen Dachflächen,,,,Mobilitätsplanung mit Fokus auf Ausbau Rad- und Fußinfrastruktur und ÖPNV-Entwicklung
Verkehr: Ausbau und Attraktivierung ÖPNV,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/verkehr/verkehr-ausbau-und-attraktivierung-opnv,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ausbau und Attraktivierung des ÖPNV-Angebotes
Aufforstung,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/land-und-natur/aufforstung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Aufforstung als Klimawälder *Aufbau eines Dialogprozesses mit Waldbesitzer:innen
Humusaufbau,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/land-und-natur/humusaufbau,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Beratungs- und Förderangebote zur Umstellung auf ökologische und regenerative Landwirtschaft (Vorbild ""Förder- /Beratungskompass"")"
Forcierung veganer Ernährungsangebote Kantinen,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/landwirtschaft/forcierung-veganer-ernahrungsangebote-kantinen,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Umstellung des Verpflegungsangebotes auf überwiegend ökologische vegetarische Ernährungsform in Kantinen der Schulen, Krankenhäuser und Pflegeeinrichtungen mit öffentlicher Trägerschaft"
Förderung zur Umstellung auf Ökolandbau,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/landwirtschaft/forderung-zur-umstellung-auf-okolandbau,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Beratungs- und Förderangebote zur Umstellung auf ökologische und regenerative Landwirtschaft (Vorbild ""Förder- /Beratungskompass"")"
Kläranlage als klimaneutraler Betrieb,Bremen,Strom,https://monitoring.localzero.net/kernen-im-remstal/massnahmen/abfallwirtschaft/klaranlage-als-klimaneutraler-betrieb,PV-Belegung aller kommuneneigenen Dachflächen,,,,Energieautarker Betrieb der Kläranlagen
Windflächen ausweisen,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von Windenergieanlagen ermöglichen und Errichtung unterstützen
Umsetzung von Windanlagen,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von Windenergieanlagen ermöglichen und Errichtung unterstützen
PV auf kommuneeigenen Dachflächen,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,PV-Belegung aller kommuneneigenen Dachflächen
PV auf Freiflächen,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von PV-Flächenanlagen ermöglichen und unterstützen
Wärmeplanung,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Wärmeplanung beauftragen bzw. erstellen gemäß Wärmeplanungsgesetz bzw. Landesgesetz
Dekarbonisierung bestehender Wärmenetze,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Dekarbonisierung bestehender Fernwärmenetze und Ausbau grüner Wärmenetze durch erneuerbare Wärmequellen
Radverkehrskonzept,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Mobilitätsplanung mit Fokus auf Ausbau Rad- und Fußinfrastruktur und ÖPNV-Entwicklung
Mobilität - Marktplatz,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ausbau Radverkehr
Städtisches Nahverkehrskonzept,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ausbau und Attraktivierung des ÖPNV-Angebotes
Fahrradabstellplätze,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Ausbau Radverkehr
Verkehrs- und Parkleitsystem,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Reduktion der MIV Flächen (flächendeckendes Parkraummanagement)
Tempo 30 innerort,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Einführung von Geschwindigkeitsbegrenzungen
Einbahnstraße xy,Bremen,Strom,LocalZero Monitoring,PV-Belegung aller kommuneneigenen Dachflächen,,,,Einführung von Geschwindigkeitsbegrenzungen
Sanierung aller kommunalen Gebäude,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/klimaneutrale-gebaude/sanierung-aller-kommunalen-gebaude,PV-Belegung aller kommuneneigenen Dachflächen,,,,Umfassende energetische Gebäudesanierung der kommunalen Liegenschaften und kommunalen Wohhnungsbaugesellschaften *Hüllfllächensanierung inkl. Heizungsaustausch. *Erstellung eines Sanierungsplans.
Sanierung des restlichen Gebäudebestands,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/klimaneutrale-gebaude/sanierung-des-restlichen-gebaudebestands,PV-Belegung aller kommuneneigenen Dachflächen,,,,Umfassende energetische Gebäudesanierung der kommunalen Liegenschaften und kommunalen Wohhnungsbaugesellschaften *Hüllfllächensanierung inkl. Heizungsaustausch. *Erstellung eines Sanierungsplans.
Kommunale Wärmeplanung,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/klimaneutrale-gebaude/kommunale-warmeplanung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Wärmeplanung beauftragen bzw. erstellen gemäß Wärmeplanungsgesetz bzw. Landesgesetz
Dekarbonisierung der Fernwärmeversorgung,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/klimaneutrale-gebaude/dekarbonisierung-der-fernwarmeversorgung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Dekarbonisierung bestehender Fernwärmenetze und Ausbau grüner Wärmenetze durch Erschließung erneuerbarer Wärmequellen
Wärmeversorgung Gebäude ohne Fernwärmeanschluss,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/klimaneutrale-gebaude/warmeversorgung-gebaude-ohne-fernwarmeanschluss,PV-Belegung aller kommuneneigenen Dachflächen,,,,Beratung und Motivation zur Verdichtung und Erweiterung von Wärmenetzen in bestehenden Wohngebieten bzw. Anschluss- und Benutzungszwang
Solarstrom auf Gebäuden,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/klimaneutrale-gebaude/sanierung-aller-kommunalen-gebaude,PV-Belegung aller kommuneneigenen Dachflächen,,,,PV-Belegung aller kommuneneigenen Dachflächen
Solarstrom auf weiteren Flächen,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/ausbau-erneuerbarer-energien/solarstrom-auf-weiteren-flachen,PV-Belegung aller kommuneneigenen Dachflächen,,,,PV-Belegung aller kommuneneigenen Dachflächen
Windkraft,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/ausbau-erneuerbarer-energien/windkraft,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von Windenergieanlagen ermöglichen und Errichtung unterstützen
Stromnetzausbau,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/ausbau-erneuerbarer-energien/stromnetzausbau,PV-Belegung aller kommuneneigenen Dachflächen,,,,Unterstützung/Aufbau von oder Zusammenarbeit mit Energiegenossenschaften
Ernährungsstrategie für Freiburg,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/ernahrung/ernahrungsstrategie-fur-freiburg,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Umstellung des Verpflegungsangebotes auf überwiegend ökologische vegetarische Ernährungsform in Kantinen der Schulen, Krankenhäuser und Pflegeeinrichtungen mit öffentlicher Trägerschaft"
CO2-Bürgerrechner,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/ernahrung/co2-burgerrechner,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Versorgung mit mindestens 60% regionalen BIO-Leben,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/ernahrung/versorgung-mit-mindestens-60-regionalen-bio-leben,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Umstellung des Verpflegungsangebotes auf überwiegend ökologische vegetarische Ernährungsform in Kantinen der Schulen, Krankenhäuser und Pflegeeinrichtungen mit öffentlicher Trägerschaft"
Betrieblicher Essenszuschuss,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/ernahrung/betrieblicher-essenszuschuss,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Umstellung des Verpflegungsangebotes auf überwiegend ökologische vegetarische Ernährungsform in Kantinen der Schulen, Krankenhäuser und Pflegeeinrichtungen mit öffentlicher Trägerschaft"
Bildungskampagne Ernährung,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/ernahrung/bildungskampagne-ernahrung,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Beratungs- und Förderangebote zur Umstellung auf ökologische und regenerative Landwirtschaft (Vorbild ""Förder- /Beratungskompass"")"
Bildung an Schulen,Bremen,Strom,https://monitoring.localzero.net/freiburg/massnahmen/klimabildungskonzept/bildung-an-schulen,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Zielvorgabe für jährlichen PV-Ausbau festlegen,Bremen,Strom,https://monitoring.localzero.net/lubeck/massnahmen/erneuerbare-energien-nutzen-stellschraube/erschlieung-von-strom-aus-erneuerbaren-energien/1-zielvorgabe-fur-jahrlichen-pv-ausbau-festlegen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Start wirksamer Kampagnen: *Fachkräftekampagne für Ausbau EE (PV und Sanierung) *Teilnahme Wettbewerb (Beschluss zur Verdoppelung der PV Flächen in der Kommune) *Unterstützung bei Solarparties und Solarselbstbauworkshops
Erfordernis PV-Anlagen / Neubau von Parkpläzen,Bremen,Strom,https://monitoring.localzero.net/lubeck/massnahmen/erneuerbare-energien-nutzen-stellschraube/erschlieung-von-strom-aus-erneuerbaren-energien/2-erfordernis-pv-anlagen-neubau-von-parkplazen,PV-Belegung aller kommuneneigenen Dachflächen,,,,PV-Pflicht bei Neubauten
Solar- und Gründachpotentialkataster erstellen,Bremen,Strom,https://monitoring.localzero.net/lubeck/massnahmen/erneuerbare-energien-nutzen-stellschraube/erschlieung-von-strom-aus-erneuerbaren-energien/3-solar-und-grundachpotentialkataster-erstellen,PV-Belegung aller kommuneneigenen Dachflächen,,,,
Freiflächen-Photovoltaik in FNP integrieren,Bremen,Strom,https://monitoring.localzero.net/lubeck/massnahmen/erneuerbare-energien-nutzen-stellschraube/erschlieung-von-strom-aus-erneuerbaren-energien/4-freiflachen-photovoltaik-in-fnp-integrieren,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von PV-Flächenanlagen ermöglichen und unterstützen
Hürden für Beantragung von PV-Anlagen abbauen,Bremen,Strom,https://monitoring.localzero.net/lubeck/massnahmen/erneuerbare-energien-nutzen-stellschraube/erschlieung-von-strom-aus-erneuerbaren-energien/5-hurden-fur-beantragung-von-pv-anlagen-abbauen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von PV-Flächenanlagen ermöglichen und unterstützen
Prüfauftrag Windkraftanlagen und PV auf Lübeck,Bremen,Strom,https://monitoring.localzero.net/lubeck/massnahmen/erneuerbare-energien-nutzen-stellschraube/erschlieung-von-strom-aus-erneuerbaren-energien/6-prufauftrag-windkraftanlagen-und-pv-auf-lubeck,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von PV-Flächenanlagen ermöglichen und unterstützen
Pilotprojekt PV-Dachziegel initiieren,Bremen,Strom,https://monitoring.localzero.net/lubeck/massnahmen/erneuerbare-energien-nutzen-stellschraube/erschlieung-von-strom-aus-erneuerbaren-energien/7-pilotprojekt-pv-dachziegel-initiieren,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von PV-Flächenanlagen ermöglichen und unterstützen
Pilotprojekt Agri-PV initiieren,Bremen,Strom,https://monitoring.localzero.net/lubeck/massnahmen/erneuerbare-energien-nutzen-stellschraube/erschlieung-von-strom-aus-erneuerbaren-energien/8-pilotprojekt-agri-pv-initiieren,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Bau von Agri-PV ermöglichen und Errichtung unterstützen *passende Flächen ausweisen (Flächennutzungsplan) *Ausbauflächen finden (kommunale oder private landwirtschaftliche Flächen) *Ausbau unterstützen, z.B. durch Förderung eines Pilot- oder Forschungsprojekts"
PV-Parkplätze fördern,Bremen,Strom,https://monitoring.localzero.net/lubeck/massnahmen/erneuerbare-energien-nutzen-stellschraube/erschlieung-von-strom-aus-erneuerbaren-energien/9-pv-parkplatze-fordern,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von PV-Flächenanlagen ermöglichen und unterstützen
Kampagne Dachflächen-Pacht umsetzen,Bremen,Strom,https://monitoring.localzero.net/lubeck/massnahmen/erneuerbare-energien-nutzen-stellschraube/erschlieung-von-strom-aus-erneuerbaren-energien/10-kampagne-dachflachen-pacht-umsetzen,PV-Belegung aller kommuneneigenen Dachflächen,,,,PV-Belegung aller kommuneneigenen Dachflächen
Mieterstrom fördern,Bremen,Strom,https://monitoring.localzero.net/lubeck/massnahmen/erneuerbare-energien-nutzen-stellschraube/erschlieung-von-strom-aus-erneuerbaren-energien/11-mieterstrom-fordern,PV-Belegung aller kommuneneigenen Dachflächen,,,,"Förderprogramme für PV-Anlagen. Hier darf folgende Förderung nicht fehlen: *private Haushalte, Fokus: Förderung nicht-wirtschaftlicher Anlagen(-teile) *Mini-PV Anlagen * Mieter:innen-Strom Projekte *Förderprogramme für (kleine) Unternehmen"
Wärmeplan zu einem Energieleitplan erweitern,Bremen,Strom,https://monitoring.localzero.net/lubeck/massnahmen/erneuerbare-energien-nutzen-stellschraube/erschlieung-von-strom-aus-erneuerbaren-energien/12-warmeplan-zu-einem-energieleitplan-erweitern,PV-Belegung aller kommuneneigenen Dachflächen,,,,Wärmeplanung beauftragen bzw. erstellen gemäß Wärmeplanungsgesetz bzw. Landesgesetz
Photovoltaik auf kommunalen Dächern/Liegenschaften,Bremen,Strom,https://monitoring.localzero.net/lubeck/massnahmen/erneuerbare-energien-nutzen-stellschraube/photovoltaik-auf-kommunalen-dachernliegenschaften,PV-Belegung aller kommuneneigenen Dachflächen,,,,PV-Belegung aller kommuneneigenen Dachflächen
Ausweisung von Windkraftstandorten,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/strom/ausweisung-von-windkraftstandorten,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von Windenergieanlagen ermöglichen und Errichtung unterstützen
Umsetzung von Windanlagen unterstützen,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/strom/umsetzung-von-windanlagen-unterstutzen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von Windenergieanlagen ermöglichen und Errichtung unterstützen
Klinikum Bayreuth: Photovoltaikausbau,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/strom/pv-belegung-aller-kommuneigenen-dachflachen/klinikum-bayreuth-photovoltaikausbau,PV-Belegung aller kommuneneigenen Dachflächen,,,,PV-Belegung aller kommuneneigenen Dachflächen
"Energiekonzept für GCE, HWW und Dreifachturnhalle",Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/strom/pv-belegung-aller-kommuneigenen-dachflachen/energiekonzept-fur-gce-hww-und-dreifachturnhalle,PV-Belegung aller kommuneneigenen Dachflächen,,,,PV-Belegung aller kommuneneigenen Dachflächen
Dach-PV-Anlage RW 21,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/strom/pv-belegung-aller-kommuneigenen-dachflachen/dach-pv-anlage-rw-21,PV-Belegung aller kommuneneigenen Dachflächen,,,,PV-Belegung aller kommuneneigenen Dachflächen
Erweiterung Dach-PV Lindenhof,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/strom/pv-belegung-aller-kommuneigenen-dachflachen/erweiterung-dach-pv-lindenhof,PV-Belegung aller kommuneneigenen Dachflächen,,,,PV-Belegung aller kommuneneigenen Dachflächen
Solarkampagne (FöRLa) - Teil 2: Machbarkeitsstudie,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/strom/pv-belegung-aller-kommuneigenen-dachflachen/solarkampagne-forla-teil-2-machbarkeitsstudie,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von PV-Flächenanlagen ermöglichen und unterstützen
Förderung Balkonsolaranlagen,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/strom/forderprogramm-fur-pv-anlagen/forderung-balkonsolaranlagen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Förderprogramme für PV-Anlagen
Ökostrom für alle kommunalen Liegenschaften,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/strom/okostrom-fur-alle-kommunalen-liegenschaften,PV-Belegung aller kommuneneigenen Dachflächen,,,,Kommune bezieht für alle eigenen Liegenschaften nur noch qualifizierten Ökostrom
Beratungs- und Unterstützungsangebote,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/strom/beratungs-und-unterstutzungsangebote,PV-Belegung aller kommuneneigenen Dachflächen,,,,Beratungsangebote für Private und Unternehmen
Potenzialanalyse & Ausweisung Freiflächen-PV,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/strom/potenzialanalyse-ausweisung-freiflachen-pv,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von PV-Flächenanlagen ermöglichen und unterstützen
PV-Flächenanlagen,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/strom/pv-flachenanlagen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Bau von PV-Flächenanlagen ermöglichen und unterstützen
Ausweitung des kommunalen Energiemanagements,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/strom/kamagnenarbeit-kommunales-energiemanagement/ausweitung-des-kommunalen-energiemanagements,PV-Belegung aller kommuneneigenen Dachflächen,,,,Einrichtung eines kommunalen Energiemanagements
Umsetzung von Effizienzmaßnahmen in Nahwärmenetzen,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/warmeplanung-umsetzen-mit-anschlusszwang/umsetzung-von-effizienzmanahmen-in-nahwarmenetzen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Umsetzung von Effizienzmaßnahmen in Nahwärmenetzen
Beratung und Motivation: Verdichtung/Erweiterung,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/warmeplanung-umsetzen-mit-anschlusszwang/beratung-und-motivation-verdichtungerweiterung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Beratung und Motivation zur Verdichtung und Erweiterung von Wärmenetzen
100 % erneuerbare Nahwärme,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/warmeplanung-umsetzen-mit-anschlusszwang/100-erneuerbare-nahwarme,PV-Belegung aller kommuneneigenen Dachflächen,,,,Dekarbonisierung bestehender Fernwärmenetze und Ausbau grüner Wärmenetze
Heizungsoptimierung,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/warmeplanung-umsetzen-mit-anschlusszwang/heizungsoptimierung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Beratung von und Unterstützung für Unternehmen
Wärmekonzept RW21,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/warmeplanung-umsetzen-mit-anschlusszwang/warmekonzept-rw21,PV-Belegung aller kommuneneigenen Dachflächen,,,,Wärmeplanung beauftragen bzw. erstellen gemäß Wärmeplanungsgesetz
Machbarkeitsstudie und Austausch Ölheizungen,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/warmeplanung-umsetzen-mit-anschlusszwang/machbarkeitsstudie-und-austausch-olheizungen,PV-Belegung aller kommuneneigenen Dachflächen,,,,Beratung zu Gebäudesanierung und Heizungstausch
Geothermische Wärmeversorgung Wohnungsbauprojekt,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/warmeplanung-umsetzen-mit-anschlusszwang/geothermische-warmeversorgung-wohnungsbauprojekt,PV-Belegung aller kommuneneigenen Dachflächen,,,,Dekarbonisierung bestehender Fernwärmenetze und Ausbau grüner Wärmenetze
Prüfung klimafreundliches Nahwärmenetz,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/warmeplanung-umsetzen-mit-anschlusszwang/prufung-klimafreundliches-nahwarmenetz,PV-Belegung aller kommuneneigenen Dachflächen,,,,Dekarbonisierung bestehender Fernwärmenetze und Ausbau grüner Wärmenetze
Ausbau grüner Wärmenetze,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/dekarbonisierung-bestehender-fernwarmenetze/ausbau-gruner-warmenetze,PV-Belegung aller kommuneneigenen Dachflächen,,,,Dekarbonisierung bestehender Fernwärmenetze und Ausbau grüner Wärmenetze
Erhöhung Energieeffizienz bei Quartierssanierung,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/dekarbonisierung-bestehender-fernwarmenetze/erhohung-energieeffizienz-bei-quartierssanierung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Energetische Quartierssanierung
Netzerweiterung Fernwärme und Leistungserhöhung,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/dekarbonisierung-bestehender-fernwarmenetze/netzerweiterung-fernwarme-und-leistungserhohung,PV-Belegung aller kommuneneigenen Dachflächen,,,,Dekarbonisierung bestehender Fernwärmenetze und Ausbau grüner Wärmenetze
Abwärmenutzung von Abwasser,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/nutzung-von-abwarmepotenzialen/abwarmenutzung-von-abwasser,PV-Belegung aller kommuneneigenen Dachflächen,,,,Dekarbonisierung bestehender Fernwärmenetze und Ausbau grüner Wärmenetze
Heizkonzept Bauhof,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/nutzung-von-abwarmepotenzialen/heizkonzept-bauhof,PV-Belegung aller kommuneneigenen Dachflächen,,,,Beratung von und Unterstützung für Unternehmen
Kampagnenarbeit Sanierung und erneuerbare Wärme,Bremen,Strom,https://monitoring.localzero.net/bayreuth/massnahmen/warme/kampagnenarbeit-kommunales-energiemanagement/kampagnenarbeit-sanierung-und-erneuerbare-warme,PV-Belegung aller kommuneneigenen Dachflächen,,,,Start wirksamer Kampagnen
